post_url,caption,phones,emails,websites,scraped_at
https://www.facebook.com/search/pages/?q=colombo%20real%20estate,"  Find friends Number of unread notifications 1 Colombo Real Estate  48K likes • 48K followers Contact Us Message Like We specialize in luxury properties across Colombo and its suburbs. Property company 077 766 8883 More All About Photos Followers Mentions More Details Not yet rated (0 reviews) Closing soon No 66, 2nd Floor, Welikada Plaza, Rajagiriya, Sri Lanka, 10107 Links colomborealestate.com Posts Filters","
077 766 8883",,,2026-06-02T16:15:08.740052
https://www.facebook.com/search/pages/?q=colombo%20real%20estate,"  Find friends Number of unread notifications 1 Colombo Real Estate  48K likes • 48K followers Contact Us Message Like We specialize in luxury properties across Colombo and its suburbs. Property company 077 766 8883 Colombo Real Estate Details Not yet rated (0 reviews) Closing soon No 66, 2nd Floor, Welikada Plaza, Rajagiriya, Sri Lanka, 10107 Links colomborealestate.com Contact info 077 766 8883 hello@colombores.com Colombo Real Estate Photos See All Photos Privacy    · Terms    · Advertising  ","
5
0
7
2 | 
077 766 8883 | 
10
10
2",hello@colombores.com,,2026-06-02T16:15:13.895068
https://www.facebook.com/search/pages/?q=colombo%20real%20estate,"  Find friends Number of unread notifications 1 Colombo Real Estate  48K likes • 48K followers Contact Us Message Like We specialize in luxury properties across Colombo and its suburbs. Property company 077 766 8883 Colombo Real Estate Details Not yet rated (0 reviews) Closing soon No 66, 2nd Floor, Welikada Plaza, Rajagiriya, Sri Lanka, 10107 Links colomborealestate.com Contact info 077 766 8883 hello@colombores.com Colombo Real Estate Photos See All Photos Privacy    · Terms    · Advertising  ","
5
0
7
2 | 
077 766 8883 | 
10
10
2",hello@colombores.com,,2026-06-02T16:15:19.036080
https://www.facebook.com/search/pages/?q=colombo%20real%20estate,"  Find friends Number of unread notifications 1 Colombo Real Estate  48K likes • 48K followers Contact Us Message Like We specialize in luxury properties across Colombo and its suburbs. Property company 077 766 8883 Colombo Real Estate Details Not yet rated (0 reviews) Closing soon No 66, 2nd Floor, Welikada Plaza, Rajagiriya, Sri Lanka, 10107 Links colomborealestate.com Contact info 077 766 8883 hello@colombores.com Colombo Real Estate Photos See All Photos Privacy    · Terms    · Advertising  ","
5
0
7
2 | 
077 766 8883",hello@colombores.com,,2026-06-02T16:15:24.156457
https://www.facebook.com/search/pages/?q=colombo%20real%20estate,"  Find friends Number of unread notifications 1 Colombo Real Estate  48K likes • 48K followers Contact Us Message Like We specialize in luxury properties across Colombo and its suburbs. Property company 077 766 8883 Colombo Real Estate Details Not yet rated (0 reviews) Closing soon No 66, 2nd Floor, Welikada Plaza, Rajagiriya, Sri Lanka, 10107 Links colomborealestate.com Contact info 077 766 8883 hello@colombores.com Colombo Real Estate Photos See All Photos Privacy    · Terms    · Advertising  "," 0117396630 | 
5
0
7
2 | 
077 766 8883 |  0777668885",hello@colombores.com,https://colomborealestate.com/property-city/dehiwala/ | https://colomborealestate.com/,2026-06-02T16:15:29.331886
https://www.facebook.com/search/pages/?q=colombo%20real%20estate,"  Find friends Number of unread notifications 1 Colombo Real Estate  48K likes • 48K followers Contact Us Message Like We specialize in luxury properties across Colombo and its suburbs. Property company 077 766 8883 Colombo Real Estate Details Not yet rated (0 reviews) Closing soon No 66, 2nd Floor, Welikada Plaza, Rajagiriya, Sri Lanka, 10107 Links colomborealestate.com Contact info 077 766 8883 hello@colombores.com Colombo Real Estate Photos See All Photos Privacy    · Terms    · Advertising  ","
077 766 8883 |  0777668885 | 
5
0
7
2 |  0117396630 |  0017396630",hello@colombores.com,https://colomborealestate.com/property-city/dehiwala/ | https://colomborealestate.com/property-city/colombo-03/ | https://colomborealestate.com/,2026-06-02T16:15:34.484488
https://www.facebook.com/search/pages/?q=colombo%20property,"  Find friends Number of unread notifications 1 Colombo Property  11K likes • 11K followers Contact Us Message Like Colombo Property Apartments | Real Estate | Commercial Property | Villa | Hotels  Buy Rent Sell we Can help you  0707780700 www.colombocityapartments.com Estate agent More All About Photos Followers Mentions More Details 1 review Always open Colombo 7, Colombo, Sri Lanka, 00700 Links colomboapartments.com Communities ColomboProperty Channel · 4 members Contact info 072 719 9900 inf","
8
5
2
7
7
0
3 | 

0707780700 | +94 72 719 9900 | 
6
6
1
2 | 
072 719 9900",info.colomboapartments@gmail.com,www.colombocityapartments.com,2026-06-02T16:15:52.590439
https://www.facebook.com/search/pages/?q=colombo%20property,"  Find friends Number of unread notifications 1 Colombo Property  11K likes • 11K followers Contact Us Message Like Colombo Property Apartments | Real Estate | Commercial Property | Villa | Hotels  Buy Rent Sell we Can help you  0707780700 www.colombocityapartments.com Estate agent Colombo Property Details 1 review Always open Colombo 7, Colombo, Sri Lanka, 00700 Links colomboapartments.com Communities ColomboProperty Channel · 4 members Contact info 072 719 9900 info.colomboapartments@gmail.com","+94 72 719 9900 | 
8
5
2
7
7
0
3 | 

0707780700 | 
072 719 9900",info.colomboapartments@gmail.com,www.colombocityapartments.com,2026-06-02T16:15:57.731241
https://www.facebook.com/search/pages/?q=colombo%20property,"  Find friends Number of unread notifications 1 Colombo Property  11K likes • 11K followers Contact Us Message Like Colombo Property Apartments | Real Estate | Commercial Property | Villa | Hotels  Buy Rent Sell we Can help you  0707780700 www.colombocityapartments.com Estate agent Colombo Property Details 1 review Always open Colombo 7, Colombo, Sri Lanka, 00700 Links colomboapartments.com Communities ColomboProperty Channel · 4 members Contact info 072 719 9900 info.colomboapartments@gmail.com","+94 72 719 9900 | 

0707780700 | 
072 719 9900",info.colomboapartments@gmail.com,www.colombocityapartments.com,2026-06-02T16:16:02.886508
https://www.facebook.com/search/pages/?q=colombo%20property,"  Find friends Number of unread notifications 1 Colombo Property  11K likes • 11K followers Contact Us Message Like Colombo Property Apartments | Real Estate | Commercial Property | Villa | Hotels  Buy Rent Sell we Can help you  0707780700 www.colombocityapartments.com Estate agent Colombo Property Details 1 review Always open Colombo 7, Colombo, Sri Lanka, 00700 Links colomboapartments.com Communities ColomboProperty Channel · 4 members Contact info 072 719 9900 info.colomboapartments@gmail.com","
8
5
2
7
7
0
3 | +60 10276 8535
6 | 

0707780700 | 
1
1
163 | +94 72 719 9900 | 
072 719 9900",info.colomboapartments@gmail.com,www.colombocityapartments.com,2026-06-02T16:16:08.023149
https://www.facebook.com/search/pages/?q=colombo%20property,"  Find friends Number of unread notifications 1 Colombo Property  11K likes • 11K followers Contact Us Message Like Colombo Property Apartments | Real Estate | Commercial Property | Villa | Hotels  Buy Rent Sell we Can help you  0707780700 www.colombocityapartments.com Estate agent Colombo Property Details 1 review Always open Colombo 7, Colombo, Sri Lanka, 00700 Links colomboapartments.com Communities ColomboProperty Channel · 4 members Contact info 072 719 9900 info.colomboapartments@gmail.com","+94 72 719 9900 | 
8
5
2
7
7
0
3 | 

0707780700 | 
072 719 9900",info.colomboapartments@gmail.com,www.colombocityapartments.com,2026-06-02T16:16:13.181257
